ID,Ime,Priimek,Rojstvo,Račun,Cenilec,Kraj,Ocena,Cena
1650121746099,Ian,Daniel,11.10.2019,342490237408430,1,Kearny,2,120
1600060141199,Lucius,Myers,22.11.2018,371384769015446,0,Schwerin,5,141
1603090236899,Curran,Carrillo,21.06.2019,379016432872405,0,Bierges,10,69
1667122242799,Ian,Harvey,25.10.2018,349005475966171,1,Ranst,7,80
1626070111299,Brennan,Mckee,27.03.2020,342560024100448,0,Matera,6,120
1639042382099,Francis,Koch,9.12.2018,370707813910611,1,Aisemont,3,43
1601051544899,Ahmed,Juarez,13.12.2019,379922370563775,0,Dalcahue,8,118
1646102757399,Drew,Glover,1.11.2019,379789252565545,1,Sant'Angelo a Fasanella,9,139
1683022640399,Isaiah,Pope,24.06.2018,378681685105117,1,Torno,8,55
1671041562999,Nathaniel,Camacho,13.04.2019,341088518835924,1,Cholet,3,58
1612082274199,Bradley,Robles,4.11.2019,371339873635984,1,Neustadt,10,109
1602040238799,Maxwell,Long,24.06.2018,342907864840379,0,Villafranca in Lunigiana,2,116
1607082493699,Buckminster,Dorsey,30.10.2019,347942109997804,1,Castel Volturno,8,29
1613060625599,Malik,Rutledge,1.01.2020,375394325862682,1,Iowa City,10,59
1687031593099,Cairo,Osborn,27.10.2018,347221544256534,1,Dave,10,43
1636070482099,Merritt,Melendez,27.12.2019,372126416784596,0,San Giovanni in Galdo,5,143
1663022397999,Merritt,Wilkerson,2.08.2018,345408863307814,0,Campina Grande,1,77
1631043032399,Ferris,Rich,16.08.2018,371588709099860,1,Duncan,1,125
1606121188899,Carter,Nash,2.07.2019,370860659358484,0,Beigem,4,78
1663091989499,Logan,Bradshaw,16.10.2018,340442114012431,1,Lambusart,2,106
1648051496599,Gary,Olson,5.07.2019,345791442515845,0,Ljubljana,8,142
1688102922899,Ray,Glover,28.10.2018,379292014260372,1,Metairie,7,125
1653050539499,Ferris,Powell,12.01.2020,379915455660383,1,Xhoris,6,41
1690112964699,Kaseem,Bradley,23.10.2018,346968236712734,1,Dubuisson,10,127
1637012324599,Gage,Greene,6.06.2019,371801216401994,0,Mansfield,9,136
1688030373999,Stewart,Frost,19.08.2018,344543551831062,0,Nurdaz,4,141
1675010307999,Lyle,Rose,30.08.2018,374298395337973,0,Chiusanico,2,79
1605033049199,Daquan,Morales,24.02.2019,340446941648986,0,Beypazar,5,88
1630030576599,Anthony,Dunn,3.07.2019,347055071953612,0,Roio del Sangro,3,82
1695020820199,Lane,Lancaster,26.08.2019,371094968411763,1,Zwevegem,7,103
1676121049099,Gregory,Stanley,21.06.2018,343785456102146,0,Chiusa Sclafani,2,24
1696113071499,Castor,Vargas,12.05.2018,341143921793036,1,Lago Ranco,7,20
1644021287199,Mason,Holt,20.11.2019,348939662653914,1,Dabgram,3,125
1666092019899,Amir,York,5.02.2019,342632884777613,1,Nus,8,70
1677080976499,Gabriel,Chang,26.06.2018,375037385032908,1,Izmir,8,98
1678082076099,Alden,Fox,4.04.2019,378122256235744,1,Cerignola,2,40
1617060318799,Tucker,Rasmussen,27.06.2018,348343296572261,1,Perugia,6,132
1691042816299,Josiah,Wyatt,12.02.2019,344227202876540,0,Sant'Agata Bolognese,8,44
1677081062599,Raphael,Johns,22.08.2019,349325778647157,1,Saint-Martin,1,125
1653060725099,Dane,Mendez,14.11.2019,374612728300971,1,Queily,7,134
1673090531699,Brennan,Ferguson,12.11.2018,341194228948765,1,Augusta,5,134
1618113052599,Jarrod,Moss,25.08.2019,378572096819208,0,Bay Roberts,4,110
1619120329099,Ryder,Byrd,11.03.2020,349437754274599,1,Regensburg,7,27
1634112626999,Jamal,Cobb,8.04.2019,375684805866769,1,Nordhorn,1,114
1609092935099,Kyle,Chambers,15.11.2018,348046737722821,1,Walhain,5,106
1658070298599,Murphy,Ramirez,20.12.2019,340673163927927,0,Oklahoma City,9,100
